FLDNAME,Raw (beta),Raw (pvalue)
UCD.Lipid.306,-0.024145986,0.804824659
UCD.Lipid.307,-0.055635635,0.573157048
UCD.Lipid.308,0.09702573,0.321791195
UCD.Lipid.309,-0.206390927,0.040081522
UCD.Lipid.310,0.133485047,0.174337074
UCD.Lipid.311,0.096063133,0.326266219
UCD.Lipid.312,-0.068450591,0.483436647
UCD.Lipid.313,-0.263705084,0.009461331
UCD.Lipid.314,0.100949449,0.302312485
UCD.Lipid.315,-0.102949196,0.2965821
UCD.Lipid.316,0.116602594,0.235296819
UCD.Lipid.317,-0.154877811,0.125070561
UCD.Lipid.318,0.0692546,0.478947675
UCD.Lipid.319,0.057719873,0.553953861
UCD.Lipid.320,-0.080039214,0.414179096
UCD.Lipid.321,0.03872577,0.696478903
UCD.Lipid.322,-0.053946965,0.582264956
UCD.Lipid.323,-0.362768065,0.000551054
UCD.Lipid.324,-0.049413451,0.613211843
UCD.Lipid.325,-0.010523867,0.914175959
UCD.Lipid.326,-0.141877597,0.151256034
UCD.Lipid.327,0.031460783,0.746911364
UCD.Lipid.328,-0.149509693,0.129408263
UCD.Lipid.329,0.129047171,0.188415085
UCD.Lipid.330,0.034106255,0.727130547
UCD.Lipid.331,0.091238136,0.354496077
UCD.Lipid.332,-0.166722144,0.10043185
UCD.Lipid.333,-0.000107268,0.999123036
UCD.Lipid.334,-0.100069537,0.306034329
UCD.Lipid.335,-0.147476232,0.133093645
UCD.Lipid.336,-0.181928956,0.068888248
UCD.Lipid.337,-0.233480886,0.019219065
UCD.Lipid.338,0.065746757,0.502314655
UCD.Lipid.339,-0.074870089,0.444405082
UCD.Lipid.340,-0.050889638,0.602526953
UCD.Lipid.341,-0.196806028,0.047916418
UCD.Lipid.342,-0.097434198,0.32283704
UCD.Lipid.343,0.069634961,0.482102909
UCD.Lipid.344,-0.077298612,0.430474349
UCD.Lipid.345,-0.218180925,0.028726057
UCD.Lipid.346,-0.19660045,0.052094677
UCD.Lipid.347,-0.013015324,0.894597732
UCD.Lipid.348,-0.17712476,0.075618885
UCD.Lipid.349,-0.101970599,0.303524798
UCD.Lipid.350,0.28438865,0.004550623
UCD.Lipid.351,-0.145456664,0.139244799
UCD.Lipid.352,-0.126767176,0.197398412
UCD.Lipid.353,0.034774168,0.722328441
UCD.Lipid.354,-0.077353271,0.429719135
UCD.Lipid.355,-0.131860399,0.180851211
UCD.Lipid.356,0.066016541,0.502948955
UCD.Lipid.357,0.161176865,0.102337711
UCD.Lipid.358,-0.123326713,0.212860042
UCD.Lipid.359,-0.206435151,0.038907302
UCD.Lipid.360,0.131727366,0.179004553
UCD.Lipid.361,-0.116438978,0.240775981
UCD.Lipid.362,0.076004786,0.436365197
UCD.Lipid.363,0.097036697,0.320971791
UCD.Lipid.364,0.131475389,0.180749049
UCD.Lipid.365,0.162802458,0.098808726
UCD.Lipid.366,0.10115417,0.302052109
UCD.Lipid.367,0.080027373,0.414242785
UCD.Lipid.368,0.067324109,0.491323741
UCD.Lipid.369,-0.12036108,0.221888911
UCD.Lipid.370,-0.050251243,0.610109672
UCD.Lipid.371,0.064557182,0.510156266
UCD.Lipid.372,0.010641028,0.913700222
UCD.Lipid.373,-0.019287279,0.843571948
UCD.Lipid.374,0.040395741,0.683095615
UCD.Lipid.375,-0.055968496,0.568078377
UCD.Lipid.376,-0.172613343,0.083040838
UCD.Lipid.377,-0.037199637,0.70561285
UCD.Lipid.378,0.053572452,0.58543718
UCD.Lipid.379,0.166047067,0.092795594
UCD.Lipid.380,0.303752204,0.002509717
UCD.Lipid.381,-0.03168215,0.747617385
UCD.Lipid.382,0.000300847,0.997560674
UCD.Lipid.383,-0.057639335,0.562982244
UCD.Lipid.384,-0.010834136,0.912062549
UCD.Lipid.385,-0.03538858,0.718981208
UCD.Lipid.386,0.108659638,0.266500982
UCD.Lipid.387,0.100193749,0.307163479
UCD.Lipid.388,-0.056535777,0.56368008
UCD.Lipid.389,-0.080039214,0.414179096
UCD.Lipid.390,0.133407819,0.17458465
UCD.Lipid.391,-0.081162918,0.411068594
UCD.Lipid.392,0.046863141,0.630728439
UCD.Lipid.393,0.10804176,0.268567696
UCD.Lipid.394,-0.071856931,0.464698275
UCD.Lipid.395,-0.003815164,0.968802819
UCD.Lipid.396,0.036225161,0.710313957
UCD.Lipid.397,0.031460783,0.746911364
UCD.Lipid.398,-0.068450591,0.483436647
UCD.Lipid.399,-0.382377587,0.000256934
UCD.Lipid.400,0.021416206,0.826675066
UCD.Lipid.401,0.03230217,0.74152852
UCD.Lipid.402,-0.136159155,0.169071885
UCD.Lipid.403,-0.191478908,0.0536879
UCD.Lipid.404,0.04007844,0.681128343
UCD.Lipid.405,-0.049005114,0.617851711
UCD.Lipid.406,-0.347179422,0.00072893
UCD.Lipid.407,0.211060266,0.033806169
UCD.Lipid.408,-0.09092466,0.359339907
UCD.Lipid.409,-0.261176544,0.00970721
UCD.Lipid.410,0.017057243,0.862330271
UCD.Lipid.411,-0.10325419,0.294221901
UCD.Lipid.412,0.096413856,0.326237815
UCD.Lipid.413,0.010830622,0.911717549
UCD.Lipid.414,0.10081743,0.305784469
UCD.Lipid.415,-0.003758394,0.969428871
UCD.Lipid.416,-0.111976668,0.25614931
UCD.Lipid.417,0.139465119,0.158073714
UCD.Lipid.418,-0.046334521,0.637088555
UCD.Lipid.419,-0.061407113,0.532227569
UCD.Lipid.420,-0.16205806,0.102655946
UCD.Lipid.421,0.228269548,0.021221408
UCD.Lipid.422,0.018891289,0.847110164
UCD.Lipid.423,-0.047073254,0.633083911
UCD.Lipid.424,0.160456392,0.103999304
UCD.Lipid.425,0.138711767,0.158513779
UCD.Lipid.426,0.149667961,0.127987283
UCD.Lipid.427,0.178882216,0.069922532
UCD.Lipid.428,0.079973826,0.416159822
UCD.Lipid.429,0.042764328,0.666891704
UCD.Lipid.430,0.069563811,0.482362758
UCD.Lipid.431,-0.079249275,0.419512373
UCD.Lipid.432,0.020041262,0.838498057
UCD.Lipid.433,0.101309982,0.305381965
UCD.Lipid.434,-0.018880992,0.846488179
UCD.Lipid.435,0.165126863,0.095049183
UCD.Lipid.436,-0.015958866,0.87116096
UCD.Lipid.437,-0.057297728,0.565285007
UCD.Lipid.438,-0.124689975,0.207305295
UCD.Lipid.439,-0.012350059,0.899099941
UCD.Lipid.440,-0.001278262,0.98962474
UCD.Lipid.441,-0.207902316,0.038662385
UCD.Lipid.442,-0.363881241,0.000782882
UCD.Lipid.443,-0.023921635,0.808113757
UCD.Lipid.444,-0.045122907,0.647247274
UCD.Lipid.445,-0.164911325,0.098085229
UCD.Lipid.446,-0.178287959,0.076712439
UCD.Lipid.447,-0.362768065,0.000551054
UCD.Lipid.448,-0.157297448,0.113095598
UCD.Lipid.449,-0.092980443,0.352947206
